gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn,totalcharges
Female,0,Yes,No,1,No,No,Yes,No,No,No,No,Month-to-month,29.85,29.85,No,29.85
Male,0,No,No,34,Yes,Yes,No,Yes,No,No,No,One year,56.95,1889.5,No,1889.5
Male,0,No,No,2,Yes,Yes,Yes,No,No,No,No,Month-to-month,53.85,108.15,Yes,108.15
Male,0,No,No,45,No,Yes,No,Yes,Yes,No,No,One year,42.3,1840.75,No,1840.75
Female,0,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,70.7,151.65,Yes,151.65
Female,0,No,No,8,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,99.65,820.5,Yes,820.5
Male,0,No,Yes,22,Yes,No,Yes,No,No,Yes,No,Month-to-month,89.1,1949.4,No,1949.4
Female,0,No,No,10,No,Yes,No,No,No,No,No,Month-to-month,29.75,301.9,No,301.9
Female,0,Yes,No,28,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,104.8,3046.05,Yes,3046.05
Male,0,No,Yes,62,Yes,Yes,Yes,No,No,No,No,One year,56.15,3487.95,No,3487.95
Male,0,Yes,Yes,13,Yes,Yes,No,No,No,No,No,Month-to-month,49.95,587.45,No,587.45
Male,0,No,No,16,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,18.95,326.8,No,326.8
Male,0,Yes,No,58,Yes,No,No,Yes,No,Yes,Yes,One year,100.35,5681.1,No,5681.1
Male,0,No,No,49,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,103.7,5036.3,Yes,5036.3
Male,0,No,No,25,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,105.5,2686.05,No,2686.05
Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,113.25,7895.15,No,7895.15
Female,0,No,No,52,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.65,1022.95,No,1022.95
Male,0,No,Yes,71,Yes,Yes,No,Yes,No,Yes,Yes,Two year,106.7,7382.25,No,7382.25
Female,0,Yes,Yes,10,Yes,No,No,Yes,Yes,No,No,Month-to-month,55.2,528.35,Yes,528.35
Female,0,No,No,21,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,90.05,1862.9,No,1862.9
Male,1,No,No,1,No,No,No,Yes,No,No,Yes,Month-to-month,39.65,39.65,Yes,39.65
Male,0,Yes,No,12,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.8,202.25,No,202.25
Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.15,20.15,Yes,20.15
Female,0,Yes,No,58,Yes,No,Yes,No,Yes,No,No,Two year,59.9,3505.1,No,3505.1
